#1|lemma	count
ϩⲓⲥⲉ	150
ⲛⲟⲩⲃ	150
ⲙⲓϣⲉ	149
ⲁⲛⲟⲙⲓⲁ	149
ϫⲓⲛϭⲟⲛⲥ	148
ϣⲏⲙ	148
ⲃⲱⲗ	148
ϩⲏⲕⲉ	148
ⲥϩⲁⲓ	148
ⲁⲧϩⲏⲧ	147
ⲉⲓⲣⲏⲛⲏ	147
ⲧⲟϣ	147
ⲙⲟⲥⲧⲉ	146
ⲥⲙⲓⲛⲉ	146
ⲉⲣϣⲁⲛ_ⲛⲧⲟϥ	146
ⲱϫⲛ	146
ϣⲁϩⲣⲁⲓ	146
ⲁⲅⲁⲑⲟⲛ	145
ⲱ	144
ⲟⲩϣⲏ	144
ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	143
ⲣⲏ	143
ⲕⲱϩⲧ	143
ⲥⲓⲱⲛ	143
ⲁⲙⲁϩⲧⲉ	143
ⲟⲩⲛⲟϥ	142
ⲥⲁϣϥ	142
ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ	141
ϩⲁⲧ	141
ⲥⲁⲙⲟⲩⲏⲗ	141
ⲓⲟⲣⲇⲁⲛⲏⲥ	141
ⲧⲁⲟⲩⲟ	140
ⲟⲩⲟⲉⲓⲛ	140
ⲁⲁⲣⲱⲛ	138
ϣ	138
ⲧⲃⲛⲏ	138
ⲁϣ	137
ⲡⲟⲗⲉⲙⲟⲥ	136
ⲡⲁϩⲟⲩ	136
ⲣⲉϥⲣⲛⲟⲃⲉ	135
ϣⲡⲏⲣⲉ	135
ⲙⲁⲁϫⲉ	134
ⲥⲙⲏ	134
ⲟⲩⲟⲓ	134
ⲉⲣⲉ_ⲛⲧⲱⲧⲛ	131
ⲛⲁϣⲉ	130
ⲫⲩⲗⲏ	130
ⲥⲡⲉⲣⲙⲁ	129
ⲏⲣⲡ	129
ⲉⲛⲧⲟⲗⲏ	128
ⲥⲃⲱ	128
ⲉϣϫⲉ	127
ⲙⲧⲟⲛ	127
ⲥⲁⲃⲉ	127
ϩⲧⲟⲟⲩⲉ	127
ⲥⲡⲟⲧⲟⲩ	126
ϣⲃⲏⲣ	126
